Time,TotalNetworkTraffic(MB),CPULoad(%)_Total,MemUsage(MB)_Total,CPULoad(%)_com.esbook.reader,MemUsage(MB)_com.esbook.reader,CPULoad(%)_com.esbook.reader:remote,MemUsage(MB)_com.esbook.reader:remote
1450593469,14.5487,37.4,110.1513,37.4,104.5107,0.0,5.6406
1450593470,14.5534,33.1,111.0811,33.1,105.4053,0.0,5.6758
1450593471,14.5637,2.8,111.1201,2.8,105.4053,0.0,5.7148
1450593473,14.5757,2.2,111.9834,2.2,106.2139,0.0,5.7695
1450593474,14.5767,2.7,112.1006,2.7,106.2959,0.0,5.8047
1450593475,14.6473,33.0,110.6983,33.0,104.8428,0.0,5.8555
1450593477,14.6966,3.5,110.753,3.5,104.8428,0.0,5.9102
1450593478,14.6993,28.3,110.8076,28.3,104.8623,0.0,5.9453
1450593480,14.6993,21.6,110.8154,21.6,104.8701,0.0,5.9453
1450593481,14.7131,13.8,110.8476,13.8,104.9023,0.0,5.9453
1450593482,14.8445,6.8,109.9766,6.8,104.9063,0.0,5.0703
1450593484,15.0178,8.5,110.0273,8.5,104.9414,0.0,5.0859
1450593485,15.2434,18.5,110.4922,18.5,105.3906,0.0,5.1016
1450593487,15.4182,8.1,110.0508,8.1,104.9336,0.0,5.1172
1450593488,15.5525,24.9,110.0732,24.9,104.9365,0.0,5.1367
1450593489,15.7727,14.2,110.0967,14.2,104.9365,0.0,5.1602
1450593491,15.9839,15.3,110.1201,15.3,104.9404,0.0,5.1797
1450593492,16.0175,0.0,110.1396,0.0,104.9404,0.0,5.1992
1450593494,16.0175,39.3,110.167,39.3,104.9482,0.0,5.2188
1450593495,16.0175,13.8,105.6709,13.8,100.4326,0.0,5.2383
1450593496,16.0187,32.0,107.3486,32.0,102.0908,0.0,5.2578
1450593498,16.0492,10.1,107.1221,10.1,101.8408,0.0,5.2813
1450593499,16.0506,43.2,107.4776,43.2,102.1768,0.0,5.3008
1450593501,16.0525,24.9,107.5634,24.9,102.2314,0.0,5.332
1450593502,16.0525,8.5,107.833,8.5,102.4736,0.0,5.3594
1450593503,16.0527,11.9,107.9267,11.9,102.5439,0.0,5.3828
1450593505,16.0527,16.6,107.7374,16.6,102.3311,0.0,5.4063
1450593506,16.0528,19.2,107.8818,19.2,102.4521,0.0,5.4297
1450593507,16.0528,19.7,107.9599,19.7,102.5029,0.0,5.457
1450593509,16.0528,3.8,108.1475,3.8,102.6631,0.0,5.4844
1450593510,16.0528,8.3,108.4755,8.3,102.9521,0.0,5.5234
1450593511,16.0528,2.6,108.9482,2.6,103.3779,0.0,5.5703
1450593513,16.053,6.2,110.4209,6.2,104.792,0.0,5.6289
1450593514,16.053,2.8,111.7188,2.8,106.0352,0.0,5.6836
1450593516,16.053,16.4,111.1094,16.4,105.3711,0.0,5.7383
1450593517,16.053,2.5,111.2266,2.5,105.4336,0.0,5.793
1450593519,16.0607,5.4,111.5039,5.4,105.6523,0.0,5.8516
1450593520,16.0608,2.9,108.8438,2.9,102.9219,0.0,5.9219
1450593522,16.0621,41.6,106.9492,41.6,101.0078,0.0,5.9414
1450593523,16.0621,37.4,107.5312,37.4,101.5859,0.0,5.9453
